"Month","Year","denguecases"
1,2014,1887
1,2015,982
1,2016,2428
1,2017,298
1,2018,298
1,2019,1071
1,2020,1729
1,2021,647
1,2022,603
1,2023,1016
1,2024,2024
2,2014,1024
2,2015,656
2,2016,2045
2,2017,246
2,2018,168
2,2019,712
2,2020,1535
2,2021,578
2,2022,730
2,2023,728
2,2024,1775
3,2014,870
3,2015,521
3,2016,1863
3,2017,190
3,2018,136
3,2019,440
3,2020,1509
3,2021,647
3,2022,2004
3,2023,615
3,2024,1367
4,2014,1253
4,2015,567
4,2016,986
4,2017,157
4,2018,188
4,2019,525
4,2020,1807
4,2021,427
4,2022,3322
4,2023,489
4,2024,1400
5,2014,1436
5,2015,582
5,2016,807
5,2017,254
5,2018,322
5,2019,1569
5,2020,2384
5,2021,457
5,2022,5004
5,2023,584
5,2024,1466
6,2014,2187
6,2015,792
6,2016,1015
6,2017,289
6,2018,267
6,2019,1796
6,2020,4851
6,2021,629
6,2022,6527
6,2023,917
6,2024,1224
7,2014,3574
7,2015,1320
7,2016,956
7,2017,233
7,2018,199
7,2019,3105
7,2020,8001
7,2021,341
7,2022,4210
7,2023,858
7,2024,1165
8,2014,1768
8,2015,922
8,2016,1208
8,2017,253
8,2018,296
8,2019,1935
8,2020,5439
8,2021,258
8,2022,3697
8,2023,961
8,2024,1072
9,2014,1443
9,2015,1237
9,2016,723
9,2017,191
9,2018,228
9,2019,1205
9,2020,3520
9,2021,396
9,2022,2012
9,2023,1235
9,2024,726
10,2014,1313
10,2015,941
10,2016,409
10,2017,247
10,2018,316
10,2019,1262
10,2020,2116
10,2021,340
10,2022,1460
10,2023,878
10,2024,615
11,2014,638
11,2015,1001
11,2016,401
11,2017,218
11,2018,355
11,2019,1320
11,2020,1298
11,2021,220
11,2022,1434
11,2023,766
11,2024,426
12,2014,933
12,2015,1773
12,2016,276
12,2017,191
12,2018,510
12,2019,1039
12,2020,1077
12,2021,318
12,2022,1170
12,2023,902
12,2024,391
